192.52.178.30 'k.gtld-servers.net'
85.236.55.10 'ns05.fedoraproject.org'
192.33.4.12 'c.root-servers.net'
205.251.195.208 'ns-976.awsdns-58.net'
205.251.195.117 'ns-885.awsdns-46.net'
162.14.25.249 NotFound
163.171.166.2 NotFound
205.251.197.248 'ns-1528.awsdns-63.org'
204.61.216.115 'g.dns-servers.vn'
200.221.11.98 'eliot.uol.com.br'
201.10.120.2 'CTA-PR-DNS-N01C.brasiltelecom.net.br'
205.251.193.121 'ns-377.awsdns-47.com'
205.251.194.213 'ns-725.awsdns-26.net'
172.64.32.114 'eva.ns.cloudflare.com'
180.87.4.198 NotFound
18.221.104.66 'ec2-18-221-104-66.us-east-2.compute.amazonaws.com'
161.148.220.252 NotFound
192.99.60.247 'dns10.ovh.ca'
118.69.166.10 NotFound
205.251.196.150 'ns-1174.awsdns-18.org'
198.181.116.10 'ns1.wordpress.org'
10.14.0.4 NotFound
204.13.200.184 'aip-184.trustwave.com'
13.107.24.3 'ns3-03.azure-dns.org'
205.251.196.195 'ns-1219.awsdns-24.org'
108.162.192.78 'brit.ns.cloudflare.com'
205.251.199.2 'ns-1794.awsdns-32.co.uk'
162.159.26.81 'ns2.dreamhost.com'
205.251.199.89 'ns-1881.awsdns-43.co.uk'
201.16.50.68 NotFound
130.117.190.186 NotFound
117.21.219.80 NotFound
199.43.135.53 'a.iana-servers.net'
173.245.59.104 'bob.ns.cloudflare.com'
52.15.140.229 'ec2-52-15-140-229.us-east-2.compute.amazonaws.com'
17.253.200.1 'a.ns.apple.com'
54.233.104.8 'ec2-54-233-104-8.sa-east-1.compute.amazonaws.com'
58.60.9.40 NotFound
205.251.197.49 'ns-1329.awsdns-38.org'
64.4.48.4 'ns2-04.azure-dns.net'
173.245.58.241 'yolanda.ns.cloudflare.com'
172.64.32.117 'gina.ns.cloudflare.com'
220.243.248.5 NotFound
66.198.183.65 'g.dns.cn'
120.92.128.96 NotFound
205.251.199.125 'ns-1917.awsdns-47.co.uk'
162.159.24.189 NotFound
205.251.196.249 'ns-1273.awsdns-31.org'
66.42.82.112 '66.42.82.112.vultr.com'
205.251.196.222 'ns-1246.awsdns-27.org'
205.251.196.25 'ns-1049.awsdns-03.org'
108.162.193.54 'adam.ns.cloudflare.com'
205.251.199.195 'ns-1987.awsdns-56.co.uk'
172.64.33.145 'tim.ns.cloudflare.com'
173.245.59.85 'chris.ns.cloudflare.com'
162.159.1.33 'ns4.cloudflare.com'
204.152.200.186 'web03.utorrent.com'
187.73.224.10 'ns1.intervip.com.br'
205.251.192.228 'ns-228.awsdns-28.com'
13.107.206.34 'ns4-34.azure-dns.info'
205.251.197.196 'ns-1476.awsdns-56.org'
13.107.222.34 'ns3-34.azure-dns.org'
186.250.48.24 'rs1.redfoxtelecom.com.br'
108.162.192.146 'uma.ns.cloudflare.com'
205.251.192.185 'ns-185.awsdns-23.com'
162.159.25.21 NotFound
205.251.192.141 'ns-141.awsdns-17.com'
104.47.40.8 NotFound
173.245.59.54 'adam.ns.cloudflare.com'
205.251.198.175 'ns-1711.awsdns-21.co.uk'
96.45.36.48 NotFound
180.87.4.208 NotFound
201.57.198.131 'ns2.agricultura.gov.br'
205.251.196.248 'ns-1272.awsdns-31.org'
205.251.195.32 'ns-800.awsdns-36.net'
205.251.195.139 'ns-907.awsdns-49.net'
216.239.32.105 'ns-tld1.charlestonroadregistry.com'
161.148.201.101 'bsa1.serpro.gov.br'
64.4.48.3 'ns2-03.azure-dns.net'
205.251.193.148 'ns-404.awsdns-50.com'
208.78.70.136 'ns1.dynamicnetworkservices.net'
204.42.254.5 'puck.nether.net'
205.251.194.6 'ns-518.awsdns-00.net'
172.64.33.106 'carl.ns.cloudflare.com'
189.23.119.112 NotFound
150.171.16.34 'ns2-34.azure-dns.net'
189.9.36.166 'geia.sdh.gov.br'
205.251.197.27 'ns-1307.awsdns-35.org'
162.159.26.118 NotFound
65.55.117.41 'g2.msft.net'
143.255.108.21 '143-255-108-21.mcdtelecom.com.br'
213.248.216.1 'dns1.nic.uk'
103.49.80.1 'dns2.nic.uk'
199.180.180.63 'r.arin.net'
205.251.198.123 'ns-1659.awsdns-15.co.uk'
205.251.197.211 'ns-1491.awsdns-58.org'
205.251.197.100 'ns-1380.awsdns-44.org'
162.159.44.86 'eoin.ns.cloudflare.com'
205.251.196.117 'ns-1141.awsdns-14.org'
84.53.139.129 'a84-53-139-129.deploy.static.akamaitechnologies.com'
139.162.196.199 'ns7.zoneedit.com'
173.245.58.55 'adel.ns.cloudflare.com'
108.162.192.149 'zoe.ns.cloudflare.com'
216.239.38.105 'ns-tld4.charlestonroadregistry.com'
205.251.194.36 'ns-548.awsdns-04.net'
205.251.194.150 'ns-662.awsdns-18.net'
65.39.139.161 NotFound
205.251.194.86 'ns-598.awsdns-10.net'
205.251.196.53 'ns-1077.awsdns-06.org'
205.251.197.212 'ns-1492.awsdns-58.org'
205.251.198.61 'ns-1597.awsdns-07.co.uk'
143.255.108.20 '143-255-108-20.mcdtelecom.com.br'
205.251.198.186 'ns-1722.awsdns-23.co.uk'
205.251.192.213 'ns-213.awsdns-26.com'
185.89.219.12 'd.ns.facebook.com'
205.251.193.88 'ns-344.awsdns-43.com'
205.251.193.176 'ns-432.awsdns-54.com'
205.251.197.66 'ns-1346.awsdns-40.org'
205.251.193.249 'ns-505.awsdns-63.com'
205.251.195.211 'ns-979.awsdns-58.net'
205.251.192.154 'ns-154.awsdns-19.com'
205.251.194.105 'ns-617.awsdns-13.net'
205.251.192.52 'ns-52.awsdns-06.com'
84.53.139.192 'a84-53-139-192.deploy.static.akamaitechnologies.com'
200.17.60.1 'bororo.cpd.ufmt.br'
199.212.0.63 'z.arin.net'
13.107.160.224 'ns4-224.azure-dns.info'
103.234.169.68 'ns-a3.conoha.io'
205.251.197.45 'ns-1325.awsdns-37.org'
205.251.199.12 'ns-1804.awsdns-33.co.uk'
205.251.196.51 'ns-1075.awsdns-06.org'
205.251.193.72 'ns-328.awsdns-41.com'
205.251.193.68 'ns-324.awsdns-40.com'
205.251.193.205 'ns-461.awsdns-57.com'
205.251.193.237 'ns-493.awsdns-61.com'
205.251.193.120 'ns-376.awsdns-47.com'
205.251.195.13 'ns-781.awsdns-33.net'
172.64.32.155 'emily.ns.cloudflare.com'
205.251.198.110 'ns-1646.awsdns-13.co.uk'
205.251.197.81 'ns-1361.awsdns-42.org'
213.4.194.5 'esifw2.tsai.es'
205.251.193.231 'ns-487.awsdns-60.com'
205.251.192.91 'ns-91.awsdns-11.com'
205.251.192.140 'ns-140.awsdns-17.com'
205.251.197.216 'ns-1496.awsdns-59.org'
150.171.10.34 'ns1-34.azure-dns.com'
205.251.192.123 'ns-123.awsdns-15.com'
204.13.251.136 'ns4.dynamicnetworkservices.net'
84.53.139.193 'a84-53-139-193.deploy.static.akamaitechnologies.com'
